kestrel_call,confidence,depth_score,haplo_count,flag,is_frameshift,vntr_coverage_mean,vntr_coverage_median,analysis_time_seconds,pair_id,condition,coverage_fraction
,Negative,,,,False,353.33,188.0,3.545901,pair_3000,normal,100
Insertion,High_Precision*,0.0221373778416056,371.0,Not flagged,True,347.98,189.0,2.946029,pair_3000,mutated,100
,Negative,,,,False,365.33,187.0,3.438317,pair_3001,normal,100
Insertion,High_Precision*,0.0157897470524074,390.0,Not flagged,True,360.14,190.0,3.641598,pair_3001,mutated,100
,Negative,,,,False,372.82,116.0,3.201163,pair_3002,normal,100
,Negative,,,,False,377.91,134.0,2.859241,pair_3002,mutated,100
,Negative,,,,False,327.76,223.0,3.365118,pair_3003,normal,100
Insertion,High_Precision*,0.03499930967831,386.0,Not flagged,True,318.98,220.0,3.766578,pair_3003,mutated,100
,Negative,,,,False,354.33,150.0,2.879535,pair_3004,normal,100
Insertion,High_Precision*,0.0302880192484608,386.0,Not flagged,True,360.6,137.5,3.830963,pair_3004,mutated,100
,Negative,,,,False,371.39,123.0,3.2232,pair_3005,normal,100
Insertion,High_Precision*,0.0333713338169758,347.0,Not flagged,True,354.67,126.5,3.706911,pair_3005,mutated,100
,Negative,,,,False,353.48,150.0,3.39254,pair_3006,normal,100
Insertion,High_Precision*,0.0127044107107954,380.0,Not flagged,True,361.94,149.5,3.231942,pair_3006,mutated,100
,Negative,,,,False,365.17,172.0,2.828948,pair_3007,normal,100
Insertion,High_Precision*,0.0469597487867542,345.0,Not flagged,True,365.11,187.0,2.974866,pair_3007,mutated,100
,Negative,,,,False,376.11,123.0,3.031261,pair_3008,normal,100
Insertion,High_Precision*,0.0143618596387326,382.0,Not flagged,True,333.26,104.0,3.692645,pair_3008,mutated,100
,Negative,,,,False,362.79,197.0,2.453313,pair_3009,normal,100
Insertion,High_Precision*,0.0134319348022939,379.0,Not flagged,True,316.52,174.0,3.744785,pair_3009,mutated,100
,Negative,,,,False,365.67,148.0,2.583267,pair_3010,normal,100
Insertion,High_Precision*,0.0390365448504983,357.0,Not flagged,True,332.68,133.0,3.181977,pair_3010,mutated,100
,Negative,,,,False,376.92,123.0,3.43688,pair_3011,normal,100
Insertion,High_Precision*,0.0108538350217076,383.0,Not flagged,True,379.3,113.0,3.596006,pair_3011,mutated,100
,Negative,,,,False,370.88,127.0,3.578524,pair_3012,normal,100
Insertion,High_Precision*,0.0058216459380788,380.0,Not flagged,True,370.6,116.0,3.562714,pair_3012,mutated,100
,Negative,,,,False,370.49,152.0,2.99039,pair_3013,normal,100
Insertion,High_Precision*,0.0096453479744769,377.0,Not flagged,True,363.83,148.0,3.625306,pair_3013,mutated,100
,Negative,,,,False,373.54,112.0,3.425597,pair_3014,normal,100
,Negative,,,,False,370.9,121.0,3.115495,pair_3014,mutated,100
,Negative,,,,False,363.61,163.0,2.844322,pair_3015,normal,100
Insertion,High_Precision*,0.0187823017773856,388.0,Not flagged,True,365.73,161.0,3.203628,pair_3015,mutated,100
